EVTOPTA_EADAS_6001;Borrow 50 gold;Emprunter 50 piиces d'or;50 Goldstьcke borgen;;Tomar prestado 50 de oro;;;;;;;;;x
EVTOPTB_EADAS_6001;Borrow 250 gold;Emprunter 250 piиces d'or;250 Goldstьcke borgen;;Tomar prestado 250 de oro;;;;;;;;;x
EVTOPTC_EADAS_6001;Borrow 500 gold;Emprunter 500 piиces d'or;500 Goldstьcke borgen;;Tomar prestado 500 de oro;;;;;;;;;x
EVTOPTD_EADAS_6001;Borrow nothing;Ne pas emprunter;Nichts borgen;;No tomar prestado nada;;;;;;;;;x
EVTDESC_EADAS_6005;Three Blessings, [Root.GetSocietyRank] [Root.GetFirstName],\n\nYour generous gift to the Order shall not be forgotten. The money will come to good use in the defense against those who threaten the true faith. \n\nPraise be to [Root.Religion.GetHighGodNameCap]!\nSigned, Grand Master [From.GetFirstName];;;;;;;;;;x
EVTOPTA_EADAS_6005;Excellent.;Excellent.;Hervorragend.;;Excelente.;;;;;;;;;x
EVTOPTA_EADAS_6254;You handled this well, [assassin_protege.GetFirstName].;Vous avez bien gйrй la situation, [assassin_protege.GetFirstName].;Du hast dich sehr gut geschlagen, [assassin_protege.GetFirstName].;;Te las has apaсado bien, [assassin_protege.GetFirstName].;;;;;;;;;x
EVTOPTA_EADAS_6254_TT;[Root.Society.GetName] will be pleased to hear of your protege, §Y[assassin_protege.GetTitledFirstName]§!.\n;Les Assassins seront contents d'entendre parler de votre protйgй[assassin_protege.Get_E], [assassin_protege.Get_le_TitledFirstNameJ].\n;Die Assassinen werden sich freuen, von Eurem Schьtzling §Y[assassin_protege.GetTitledFirstName]§! zu hцren.\n;;A los Asesinos les alegrarб oнr acerca de tu aprendiz §Y[assassin_protege.GetTitledFirstName]§!.\n;;;;;;;;;x
EVTDESC_EADAS_6255_A;[assassin_protege.GetFirstName] noticed the thugs coming and managed to sneak into a building to hide. [assassin_protege.GetSheHeCap] caused quite a ruckus as [assassin_protege.GetSheHe] stumbled into the bedroom of a local merchant and his wife. The escape from there was hasty, but I suppose I'm not entirely disappointed in [assassin_protege.GetHerHim] surviving the ambush.;[assassin_protege.GetFirstName] a vu les brutes s'approcher, et a rйussi а se faufiler dans un bвtiment pour se cacher. [assassin_protege.GetIlElleCap] a causй des ennuis en se retrouvant dans la chambre d'un marchand local et de sa femme. L'йvasion йtait donc prйcipitйe, mais puisqu'[assassin_protege.GetIlElle] a survйcu а l'embuscade, la dйception n'est pas totale.;[assassin_protege.GetFirstName] hat die Schlдger bemerkt und konnte sich in einem Gebдude verstecken. [assassin_protege.GetSheHeCap] hat einiges an Chaos angerichtet, als [assassin_protege.GetSheHe] in ein Schlafzimmer eines hiesigen Hдndlers und dessen Frau stolperte. Die Flucht von dort war ьberstьrzt, aber ich schдtze, ich bin nicht vцllig enttдuscht darьber, dass [assassin_protege.GetSheHe] den Hinterhalt ьberlebt hat.;;[assassin_protege.GetFirstName] se dio cuenta de que unos matones iban siguiйndole la pista y se escondiу en un edificio. Resulta que se trataba del dormitorio de un mercader local y su esposa, asн que se armу un buen alboroto. La huida fue apresurada, pero me enorgullezco, ya que logrу sobrevivir a la emboscada.;;;;;;;;;x
EVTDESC_EADAS_6255_B;[assassin_protege.GetFirstName] noticed the thugs coming and eagerly drew [assassin_protege.GetHerHis] blade on them. The fight that ensued left both parties wounded, but at least [assassin_protege.GetSheHe] survived the ambush. I'll have to talk to [assassin_protege.GetHerHim] about the optimal points of attack on the human body, however.;[assassin_protege.GetFirstName] a vu les brutes s'approcher, et a ardemment tirй sa lame. La lutte qui a suivi a laissй les deux parties blessйes, mais au moins [assassin_protege.GetIlElle] a survйcu а l'embuscade. Je vais devoir lui parler des points d'attaque optimaux sur le corps humain, cependant.;[assassin_protege.GetFirstName] bemerkte die Schlдger und zьckte erwartungsvoll [assassin_protege.GetHerHis]e Klinge. Bei dem darauffolgenden Kampf wurden alle Beteiligten verwundet, aber wenigstens hat [assassin_protege.GetSheHe] den Hinterhalt ьberlebt. Allerdings muss ich mit [assassin_protege.Getihmihr] ьber die optimalen Angriffspunkte am menschlichen Kцrper sprechen.;;[assassin_protege.GetFirstName] se dio cuenta de que unos matones iban siguiйndole la pista y desenvainу su espada con ferocidad para enfrentarse a ellos. Durante la emboscada ambos bandos resultaron heridos, pero al menos [assassin_protege.GetFirstName] saliу con vida. De todas formas, voy a tener que explicarle los puntos de ataque уptimos del cuerpo humano.;;;;;;;;;x
EVTDESC_EADAS_6255_C;It was a [Root.GetWeatherAdjective] midnight when the hired thugs descended upon [assassin_protege.GetFirstName]. [assassin_protege.GetSheHeCap] attempted to fool them by claiming my orders had changed, that the ambush was called off. While I am impressed that [assassin_protege.GetSheHe] saw through the test, [assassin_protege.GetSheHe] did not sell it completely, and instead ended up with running away in panic.;C'йtait un soir [Root.GetWeatherAdjective] lorsque les brutes engagйes se sont ruйes sur [assassin_protege.GetFirstName]. [assassin_protege.GetIlElleCap] a tentй de les duper en affirmant que mes ordres avaient changй, que l'embuscade avait йtй annulйe. Bien que je sois impressionnй[Root.Get_E] qu'[assassin_protege.GetIlElle] ait vu clair dans mon jeu, [assassin_protege.GetIlElle] n'a pas rйussi l'йpreuve entiиrement, puisqu'[assassin_protege.GetIlElle] a finalement pris la fuite.;Es war ein [Root.GetWeatherAdjective] Abend, als die bezahlten Schlдger ьber [assassin_protege.GetFirstName] herfielen. [assassin_protege.GetSheHeCap] versuchte, sie zu verwirren, indem [assassin_protege.GetSheHe] behauptete, meine Befehle hдtten sich geдndert und der Ьberfall wдre abgebrochen worden. Ich bin zwar beeindruckt, dass [assassin_protege.GetSheHe] den Test durchschaute, aber [assassin_protege.GetSheHe] konnte den Schlдgern die Geschichte nicht komplett verkaufen und rannte am Ende panisch davon.;;Una noche [Root.GetWeatherAdjective] los matones a sueldo se abalanzaron sobre [assassin_protege.GetFirstName]. Su reacciуn fue decirles que mis уrdenes habнan cambiado y que debнan abortar la emboscada. Me impresiona que intuyera que se trataba de una prueba, pero no considero que la superase de forma satisfactoria, ya que huyу presa del pбnico.;;;;;;;;;x
EVTOPTA_EADAS_6255;[assassin_protege.GetSheHeCap]'s good, but [assassin_protege.GetSheHe] still has a lot to learn.;[assassin_protege.GetIlElleCap] est douй[assassin_protege.Get_E], mais a encore beaucoup de choses а apprendre.;[assassin_protege.GetSheHeCap] ist gut, aber [assassin_protege.GetSheHe] muss noch einiges lernen.;;Tiene talento, pero todavнa le queda mucho por aprender.;;;;;;;;;x
EVTOPTA_EADAS_6255_TT;You believe in [assassin_protege.GetHerHim]. [Root.Society.GetName] will be informed of your apprentice, §Y[assassin_protege.GetTitledFirstName]§!.\n;Vous croyez en [assassin_protege.GetLuiElle]. Les Assassins seront informйs de votre apprenti[assassin_protege.Get_E], [assassin_protege.Get_le_TitledFirstNameJ].\n;Ihr glaubt an [assassin_protege.GetHerHim]. Die Assassinen werden ьber Eure[assassin_protege.GetnMale] Schьler[assassin_protege.GetinFemale] §Y[assassin_protege.GetTitledFirstName]§! in Kenntnis gesetzt.\n;;Crees en tu aprendiz. Los Asesinos recibirбn noticias de tu aprendiz §Y[assassin_protege.GetTitledFirstName]§!.\n;;;;;;;;;x
EVTDESC_EADAS_6256;It was a [Root.GetWeatherAdjective] night when the hired thugs descended upon [assassin_protege.GetFirstName]. [assassin_protege.GetSheHeCap] apparently tried to talk [assassin_protege.GetHerHis] way out of the situation, but the attackers were not so easily charmed... They were not supposed to injure [assassin_protege.GetHerHim] badly, but something must have gone wrong.;Un soir [Root.GetWeatherAdjective], les brutes engagйes se sont ruйes sur [assassin_protege.Get_le_TitledFirstName]. [assassin_protege.GetIlElleCap] a apparemment essayй de s'en sortir en les fourvoyant, mais les attaquants ne se sont pas laissйs avoir... Ils n'йtaient pas supposйs [assassin_protege.GetLeLa] blesser gravement, mais quelque chose a dы mal tourner.;Es war ein [Root.GetWeatherAdjective] Abend, als die bezahlten Schlдger ьber [assassin_protege.GetFirstName] herfielen. [assassin_protege.GetSheHeCap] hat offenbar versucht, sich herauszureden, aber die Angreifer lieЯen sich nicht so leicht ьberzeugen ... Sie sollten [assassin_protege.GetHerHim] nicht so schwer verwunden, aber irgendwas muss schiefgelaufen sein.;;Una noche [Root.GetWeatherAdjective] los matones a sueldo se abalanzaron sobre [assassin_protege.GetFirstName], quien tratу de convencerlos para que le permitieran escapar. Los matones no cedieron. Les habнa ordenado que midiesen su fuerza, pero creo que no me entendieron bien.;;;;;;;;;x
EVTOPTA_EADAS_6256;Oh, poor [assassin_protege.GetFirstName]. I thought you had potential.;Oh, pauvre [assassin_protege.GetFirstName]. Je pensais que vous aviez du potentiel.;Oh, arme[assassin_protege.GetrMale] [assassin_protege.GetFirstName]. Ich dachte, du hдttest Potential.;;Pobre [assassin_protege.GetFirstName]. Creнa que tenнas potencial...;;;;;;;;;x
EVTOPTA_EADAS_6256_TT;The life of an Assassin is not an easy one but it would seem §Y[assassin_protege.GetTitledFirstName]§! was not ready for it. [Root.Society.GetName] will be informed of your failure.\n;La vie d'un Assassin n'est pas facile, et il semble que [assassin_protege.Get_le_TitledFirstNameJ] n'йtait pas prкt[assassin_protege.Get_E] pour cela. Les Assassins seront informйs de votre йchec.\n;Das Leben eines Assassinen ist kein leichtes, aber §Y[assassin_protege.GetTitledFirstName]§! war anscheinend nicht bereit dafьr. Die Assassinen werden ьber Euer Versagen in Kenntnis gesetzt.\n;;La vida de un asesino no es fбcil, pero parece que §Y[assassin_protege.GetTitledFirstName]§! no estaba a la altura. Los Asesinos recibirбn noticias de este fracaso.\n;;;;;;;;;x
EVTOPTB_EADAS_6256;This hurts more than I thought it would.;Cela me blesse plus que je ne l'aurais pensй.;Das schmerzt mehr, als ich gedacht hдtte.;;Duele mбs de lo que esperaba.;;;;;;;;;x
EVTOPTB_EADAS_6256_TT;The life of an Assassin is not an easy one but it would seem §Y[assassin_protege.GetTitledFirstName]§! was not ready for it.\n[Root.Society.GetName] will be informed of your loss.\n;La vie d'un Assassin n'est pas facile, et il semble que [assassin_protege.Get_le_TitledFirstNameJ] n'йtait pas prкt[assassin_protege.Get_E] pour cela. Les Assassins seront informйs de votre perte.\n;Das Leben eines Assassinen ist kein leichtes, aber §Y[assassin_protege.GetTitledFirstName]§! war anscheinend nicht bereit dafьr.\nDie Assassinen werden ьber Euren Verlust in Kenntnis gesetzt.\n;;La vida de un asesino no es fбcil, pero parece que §Y[assassin_protege.GetTitledFirstName]§! no estaba a la altura.\nLos Asesinos recibirбn noticias de tu pйrdida.\n;;;;;;;;;x
EVTDESC_EADAS_6258;The time has come for me to confess my love for the one true god.;Le moment est venu pour moi de confesser mon amour pour le seul vrai dieu.;Die Zeit ist gekommen, meine Liebe fьr den einzig wahren Gott zu gestehen.;;Ha llegado el momento de confesar mi devociуn por el ъnico dios verdadero.;;;;;;;;;x
EVTOPTA_EADAS_6258;I'll scream it from the top of my lungs!;Je vais le crier а pleins poumons !;Ich schreie es mit voller Kraft hinaus!;;ЎVoy a proclamarlo a pleno pulmуn!;;;;;;;;;x
EVTOPTB_EADAS_6258;I'll join the religion in secret.;Je vais secrиtement rejoindre cette religion.;Ich werde der Religion heimlich beitreten.;;Voy a unirme a la religiуn en secreto.;;;;;;;;;x
EVTDESC_EADAS_6259_A;Over the past few months, my apprentice [assassin_protege.GetFirstName] has deeply impressed both me and my order. [Root.Society.GetName] have informed me that I should be proud to have been the guardian of this faithful young [assassin_protege.GetManWoman].;Au cours des derniers mois, mon apprenti[assassin_protege.Get_E] [assassin_protege.GetFirstName] nous a particuliиrement impressionnйs, moi et l'Ordre. Les Assassins m'ont informй que je pouvais кtre fi[Root.GetErEre] d'avoir йtй [Root.GetLeLa] tut[Root.GetEurRice] de c[From.GetEEtte] jeune fidиle.;In den letzten Monaten hat [assassin_protege.GetFirstName] mich und meinen Orden tief beeindruckt. Die Assassinen haben mir gesagt, ich solle stolz sein, der Beschьtzer von [assassin_protege.Getdiesemdieser] treuen jungen [assassin_protege.GetManWoman] gewesen zu sein.;;Durante los ъltimos meses, mi aprendiz [assassin_protege.GetFirstName] nos ha impresionado mucho a la orden y a mн. Los Asesinos dicen que deberнa enorgullecerme de haber tenido bajo mi tutela a un alma tan devota.;;;;;;;;;x
EVTDESC_EADAS_6259_B;In spite of [assassin_protege.GetHerHis] injuries, my apprentice [assassin_protege.GetFirstName] has proven [assassin_protege.GetHerselfHimself], both to me and my order. [Root.Society.GetName] have informed me that they are pleased with my training of the faithful young [assassin_protege.GetManWoman].;En dйpit de ses blessures, mon apprenti[assassin_protege.Get_E] [assassin_protege.GetFirstName] a fait ses preuves, а mes yeux, comme а ceux de l'Ordre. Les Assassins m'ont informй qu'ils йtaient satisfaits de la formation de c[From.GetEEtte] jeune fidиle.;Trotz der Verletzungen hat [assassin_protege.GetFirstName] sich mir und meinem Orden bewiesen. Die Assassinen lieЯen mich wissen, sie wдren zufrieden mit meiner Ausbildung von [assassin_protege.Getdiesemdieser] jungen [assassin_protege.GetManWoman].;;A pesar de sus heridas, [assassin_protege.GetFirstName] nos ha demostrado su talento a la orden y a mн. Los Asesinos estбn satisfechos con el entrenamiento que le he brindado.;;;;;;;;;x
EVTDESC_EADAS_6259_C;The death of my dear apprentice took me by surprise, but what is worse is the complete silence I have been met with from [Root.Society.GetName]. I can only assume that they are disappointed – all I can do is wait for a new mission.;La mort de m[assassin_protege.GetOnA] ch[assassin_protege.GetErEre] apprenti[assassin_protege.Get_E] йtait inattendue, mais ce qui est pire, c'est le silence absolu de la part des Assassins. Je suppose qu'ils sont dйзus – tout ce que je peux faire, c'est attendre une nouvelle mission.;Der Tod meines geschдtzten Schьlers kam ьberraschend, aber noch schlimmer ist das absolute Schweigen, das mir von den Assassinen entgegengebracht wird. Ich kann nur annehmen, dass sie enttдuscht sind. Alles, was ich tun kann, ist, auf eine neue Mission zu warten.;;La muerte de mi aprendiz me ha pillado totalmente por sorpresa. Lo peor ha sido el silencio con el que han reaccionado los Asesinos. Creo que estбn decepcionados. No puedo hacer otra cosa que esperar a la prуxima misiуn.;;;;;;;;;x
EVTDESC_EADAS_6259_D;Over the past few months, my apprentice [assassin_protege.GetFirstName] has impressed both me and my order. [Root.Society.GetName] have informed me that as soon as [assassin_protege.GetSheHe] has agreed to convert to our faith, they will share in my pride as guardians of this remarkable young [assassin_protege.GetManWoman].;Au cours des derniers mois, mon apprenti[assassin_protege.Get_E] [assassin_protege.GetFirstName] nous a impressionnйs, moi et l'Ordre. Les Assassins m'ont informй que dиs qu'[assassin_protege.GetIlElle] sera d'accord pour se convertir а notre religion, ils partageront avec moi la fiertй d'avoir la tutelle de c[From.GetEEtte] jeune [assassin_protege.GetManWoman] remarquable.;In den letzten Monaten hat [assassin_protege.GetFirstName] mich und meinen Orden beeindruckt. Die Assassinen lieЯen mich wissen, dass, sobald [assassin_protege.GetSheHe] zu unserem Glauben konvertiert, sie am Stolz als Beschьtzer von [assassin_protege.Getdiesemdieser] bemerkenswerten jungen [assassin_protege.GetManWoman] teilhaben werden.;;Durante los ъltimos meses, mi aprendiz [assassin_protege.GetFirstName] nos ha impresionado a la orden y a mн. Los Asesinos dicen que en cuanto acceda a convertirse a nuestra religiуn, celebrarбn con mi mismo orgullo su trayectoria.;;;;;;;;;x
EVTDESC_EADAS_6259_E;In spite of [assassin_protege.GetHerHis] injuries, my apprentice [assassin_protege.GetFirstName] has proven [assassin_protege.GetHerselfHimself], both to me and my order. [Root.Society.GetName] have informed me that as soon as [assassin_protege.GetSheHe] has agreed to convert to our faith, they will consider my mission to train the young [assassin_protege.GetManWoman] complete.;En dйpit de ses blessures, mon apprenti[assassin_protege.Get_E] [assassin_protege.GetFirstName] a fait ses preuves, а mes yeux, comme а ceux de l'Ordre. Les Assassins m'ont informй que dиs qu'[assassin_protege.GetIlElle] sera d'accord pour se convertir а notre religion, ils considйreront ma mission de former [assassin_protege.GetLeLa] jeune [assassin_protege.GetManWoman] comme achevйe.;Trotz der Verletzungen hat [assassin_protege.GetFirstName] sich mir und meinem Orden bewiesen. Die Assassinen lieЯen mich wissen, dass, sobald [assassin_protege.GetSheHe] zu unserem Glauben konvertiert, sie meine Mission, diese[assassin_protege.GetnMale] junge[assassin_protege.GetnMale] [assassin_protege.GetManWoman] auszubilden, als abgeschlossen erachten werden.;;A pesar de sus heridas, [assassin_protege.GetFirstName] nos ha demostrado su talento a la orden y a mн. Los Asesinos dicen que en cuanto acceda a convertirse a nuestra religiуn, darбn por completado su entrenamiento.;;;;;;;;;x
EVTDESC_EADAS_6259_F;The death of my dear apprentice took me by surprise, but what is worse is the complete silence I have been met with from [Root.Society.GetName]. I can only assume that they are disappointed – all I can do is wait for a new mission.;La mort de m[assassin_protege.GetOnA] ch[assassin_protege.GetErEre] apprenti[assassin_protege.Get_E] йtait inattendue, mais ce qui est pire, c'est le silence absolu de la part des Assassins. Je suppose qu'ils sont dйзus – tout ce que je peux faire, c'est attendre une nouvelle mission.;Der Tod meines geschдtzten Schьlers kam ьberraschend, aber noch schlimmer ist das absolute Schweigen, das mir von den Assassinen entgegengebracht wird. Ich kann nur annehmen, dass sie enttдuscht sind. Alles, was ich tun kann, ist, auf eine neue Mission zu warten.;;La muerte de mi aprendiz ha sido totalmente imprevista. Lo peor ha sido el silencio con el que han reaccionado los Asesinos. Creo que estбn decepcionados. No puedo hacer otra cosa que esperar a la prуxima misiуn.;;;;;;;;;x
EVTOPTA_EADAS_6259;[Root.Religion.GetHighGodNameCap] is with us.;[Root.Get_le_HighGodTrue] nous accompagne.;[Root.Religion.GetHighGodNameCap] ist mit uns.;;[Root.Religion.GetHighGodNameCap] estб con nosotros.;;;;;;;;;x
EVTOPTA_EADAS_6259_TT;You will complete your mission to train an apprentice.;Vous rйussissez votre mission visant а former un apprenti.\n;Ihr werdet Eure Mission, einen Schьler auszubilden, abschlieЯen.;;Completas la misiуn de entrenar a tu aprendiz.;;;;;;;;;x
EVTOPTB_EADAS_6259;Praise [Root.Religion.GetHighGodNameCap]!;Puisse [Root.Get_le_HighGodTrue] кtre louй !;Gepriesen sei [Root.Religion.GetHighGodNameCap]!;;ЎAlabado sea [Root.Religion.GetHighGodNameCap]!;;;;;;;;;x
EVTOPTB_EADAS_6259_TT;You will complete your mission to train an apprentice.;Vous rйussissez votre mission visant а former un apprenti.\n;Ihr werdet Eure Mission, einen Schьler auszubilden, abschlieЯen.;;Completas la misiуn de entrenar a tu aprendiz.;;;;;;;;;x
EVTOPTC_EADAS_6259;I will wait for further instructions.;Je vais attendre de nouvelles instructions.;Ich werde auf weitere Instruktionen warten.;;Voy a esperar a que me den mбs instrucciones.;;;;;;;;;x
EVTOPTC_EADAS_6259_TT;You fail your mission to train an apprentice.\n;Vous йchouez а votre mission visant а former un apprenti.\n;Eure Mission, einen Schьler auszubilden, ist gescheitert.\n;;Fracasas en tu misiуn de entrenar a un aprendiz.;;;;;;;;;x
EVTOPTD_EADAS_6259;May the shadow hide you, [assassin_protege.GetFirstName].;Que l'obscuritй vous cache, [assassin_protege.GetFirstName].;Mцge dir der Schatten Schutz bieten, [assassin_protege.GetFirstName].;;Que las sombras te guarden, [assassin_protege.GetFirstName].;;;;;;;;;x
EVTOPTD_EADAS_6259_TT;You will complete your mission to train an apprentice.;Vous rйussissez votre mission visant а former un apprenti.\n;Ihr werdet Eure Mission, einen Schьler auszubilden, abschlieЯen.;;Completas la misiуn de entrenar a tu aprendiz.;;;;;;;;;x
EVTOPTE_EADAS_6259;May the shadows protect you, [assassin_protege.GetFirstName].;Que les ombres vous protиgent, [assassin_protege.GetFirstName].;Mцgen dich die Schatten schьtzen, [assassin_protege.GetFirstName].;;Que las sombras te protejan, [assassin_protege.GetFirstName].;;;;;;;;;x
EVTOPTE_EADAS_6259_TT;You will complete your mission to train an apprentice.;Vous rйussissez votre mission visant а former un apprenti.\n;Ihr werdet Eure Mission, einen Schьler auszubilden, abschlieЯen.;;Completas la misiуn de entrenar a tu aprendiz.;;;;;;;;;x
EVTOPTF_EADAS_6259;[Root.Society.GetName] want nothing to do with you right now.;Les Assassins ne s'intйressent nullement а vous en ce moment.;Die Assassinen wollen derzeit nichts mit Euch zu tun haben.;;Los Asesinos no quieren saber nada de ti ahora mismo.;;;;;;;;;x
EVTOPTF_EADAS_6259_TT;You fail your mission to train an apprentice.\n;Vous йchouez а votre mission visant а former un apprenti.\n;Eure Mission, einen Schьler auszubilden, ist gescheitert.\n;;Fracasas en tu misiуn de entrenar a un aprendiz.;;;;;;;;;x
#6252_CONVERT_APPRENTICE_TT;§Y[assassin_protege.GetTitledFirstName]§! will offer [assassin_protege.GetHerselfHimself] up to [Root.Religion.GetHighGodNameCap] and convert to the religion of [Root.Religion.GetName].;[assassin_protege.Get_Le_TitledFirstNameJ] s'offrira [Root.Get_au_HighGod] et se convertira а la religion de l'islam chiite.;§Y[assassin_protege.GetTitledFirstName]§! wird sich [Root.Religion.GetHighGodNameCap] hingeben und dem Schia-Islam beitreten.;;§Y[assassin_protege.GetTitledFirstName]§! va a consagrarse a [Root.Religion.GetHighGodNameCap] y a convertirse al chiismo.;;;;;;;;;x
EVTDESC_EADAS_6260_A;My child, and apprentice in the shadowy arts of assassination, has been the victim of an unexpected turn of events and a most untimely death. I could be beside myself with pain, but I must focus on recovering from the loss, while [Root.Society.GetName] are informed of my predicament.;Mon enfant, apprenti aux arts tйnйbreux de l'assassinat, a йtй victime d'une tournure inattendue des йvйnements et d'une mort prйmaturйe. La douleur me submerge, mais je dois tout faire pour me remettre de cette perte, pendant que les Assassins sont informйs de ma situation difficile.;Mein Kind und Schьler in den dunklen Kьnsten der Assassinen wurde Opfer einer unerwarteten Wendung der Ereignisse und einem frьhzeitigen Tod. Ich kцnnte mich vor Schmerzen winden, aber ich muss mich von dem Verlust erholen, wдhrend die Assassinen ьber meine Lage in Kenntnis gesetzt werden.;;Mi aprendiz en el sombrнo arte del asesinato ha sido vнctima de un giro de los acontecimientos y ha sufrido una muerte prematura. No puedo sucumbir al dolor. Debo recuperarme da la pйrdida mientras los Asesinos reciben noticias de mi terrible situaciуn.;;;;;;;;;x
EVTDESC_EADAS_6260_B;My apprentice in the shadowy arts of assassination has been the victim of an unexpected turn of events and a most untimely death. [Root.Society.GetName] will be informed of my loss and predicament.;Mon apprenti aux arts tйnйbreux de l'assassinat a йtй victime d'une tournure des йvйnements inattendue et d'une mort prйmaturйe. Les Assassins seront informйs de ma perte et de ma situation difficile.;Mein Schьler in den dunklen Kьnsten der Assassinen wurde Opfer einer unerwarteten Wendung der Ereignisse und einem frьhzeitigen Tod. Die Assassinen werden ьber meinen Verlust und meine Situation in Kenntnis gesetzt.;;Mi aprendiz en el sombrнo arte del asesinato ha sido vнctima de un giro de los acontecimientos y ha sufrido una muerte prematura. Los Asesinos recibirбn noticias de la pйrdida y de mi terrible situaciуn.;;;;;;;;;x
